"","Cost.Center","Order","Functional.loc.","Description","Planner.group","Description.1","Created.on","TotSum..actual.","Equipment","Actual.start","Actual.Finish","Resp..cost.cntr","Plant.section","Plant","MaintPlant","Total.settlemt","Total.act.costs","TotalPlnndCosts","Notification","Order.Type","MaintActivType","Area.Proses","PLANT","Detail.area","Jenis.aktivitas"
"1",7103340901,13860325,"SG-2301-CR-201-1U001","Tambal corong tengah hoper bocor","619","FEEDER,APRON ~LIMESTONE ~CRUSHER ~GRESIK","2021/12/14","3.655.000",50016225,"2021/12/13","2021/12/17",7103342906,"637",7901,2301,0,"3.655.000","3.655.000",300001200778,"PM03",35,"Operasional unit kerja penunjang","Penunjang Gresik","UNIT GP GRESIK","Operasional"
"2",7103341051,13831703,"SG-2301-FM-426-2W044A","PINDAH UJUNG DUCTING HISAP AS FLY ASH #A","619","SCREW,TRANSPORT,SIZE 10"" ~FLY ASH FILLER","2021/09/06","1.852.903",50016730,"2021/09/06","2021/10/01",7103342906,"637",7901,2301,0,"1.852.903","1.852.904",300001132162,"PM03",35,"Finish Mill","Gresik","FINISH MILL GSK OP F","Operasional"
"3",7103341051,13821560,"SG-2301-FM-419-2B009A","ISPEKSI BLOWER DC OUTLET # A","619","FAN,ID~DUST COLLECTOR CEMENT~MILL OUTLET","2021/07/23","433.000",50016490,"2021/07/26","2021/07/29",7103342906,"637",7901,2301,0,"433.000","458.600",300001104668,"PM03",2,"Finish Mill","Gresik","FINISH MILL GSK OP F","Operasional"
"4",7103341051,13809714,"SG-2301-FM-424-2DR001","DRYER TIDAK KERJA","620","BOARD,EQUIPMENT PANEL-DRYER~HRE 4000","2021/06/09","3.895.000",40015062,"2021/06/10","2021/07/07",7103343907,"637",7901,2301,0,"3.895.000","3.895.000",300001075025,"PM03",2,"Finish Mill","Gresik","FINISH MILL GSK OP F","Operasional"
"5",7103341051,13763593,"SG-2301-FM-412-2W020","BAUT HEAD DRUM B/C 2001 PUTUS","619","CONVEYOR,BELT ~GYPSUM -TRANSFER ON/TOP","2020/12/04","309",50016276,"2020/12/07","2020/12/08",7103342906,"637",7901,2301,0,"309","308",300000948849,"PM03",11,"Finish Mill","Gresik","FINISH MILL GSK OP F","Operasional"
"6",7103341051,13821559,"SG-2301-FM-419-2B008A","ISPEKSI BLOWER DC INLET # A","619","FAN,ID~ DUST COLLECTOR CEMENT JETPULSE","2021/07/23","2.743.226",50016453,"2021/07/26","2021/07/29",7103342906,"637",7901,2301,0,"2.743.226","2.562.000",300001104667,"PM03",2,"Finish Mill","Gresik","FINISH MILL GSK OP F","Operasional"
"7",7103341051,13809715,"SG-2301-FM-422-Q002","CRANE BATU KAPUR REWEL","620","PANEL,CONTROL ~CRANE FOR/OPERATION ON/GY","2021/06/09","11.200.000",20018559,"2021/06/10","2021/07/07",7103343907,"637",7901,2301,0,"11.200.000","11.200.000",300001073924,"PM03",2,"Finish Mill","Gresik","FINISH MILL GSK OP F","Operasional"
"8",7103341051,13795892,"SG-2301-FM-411-2W001","2W410101M: F010 -gride member coupling m","619","MOTOR,BELT CONVEYOR ~CLINKER TRANSFER TO","2021/04/06","1.537.507",20018110,"2021/04/06","2021/04/12",7103342906,"637",7901,2301,0,"1.537.507","1.537.507",300001032914,"PM03",4,"Finish Mill","Gresik","FINISH MILL GSK OP F","Operasional"
"9",7103341051,13782545,"SG-2301-FM-424","Kompressor Kaeser Inlet F BSD 75","620","","2021/02/11","276.000",NA,"","",7103343907,"619",7901,2301,0,"276.000","276.000",300000994518,"PM03",2,"Finish Mill","Gresik","FINISH MILL GSK OP F","Operasional"
"10",7103341051,13805873,"SG-2301-FM-415-2N002N","BUAT MAN HOLE WF C-2","619","GATE,BIN DISCHARGE ~CLINKER SILO~N(C2)","2021/05/19","7.310.000",50016377,"2021/05/20","2021/06/03",7103342906,"637",7901,2301,0,"7.310.000","7.310.000",300001060087,"PM03",7,"Finish Mill","Gresik","FINISH MILL GSK OP F","Operasional"
